loss_boundary,l2_error,loss,step,_timestamp,loss_interior,_runtime,time,_step
0.11966100085340635,0.2174608115699347,0.13634610037162198,0,1714600781.8266585,0.01668509951821564,5.559081554412842,1.2038540840148926,0
0.08311201199733449,0.21809970364032177,0.08326693568247327,1,1714600781.8899157,0.00015492368513878407,5.622338771820068,1.5002291202545166,1
0.07527787500525275,0.2258914118216674,0.07533587439925404,2,1714600781.9629004,5.799939400128966e-05,5.695323467254639,1.5732898712158203,2
0.07417824604004564,0.22828681104939402,0.0742605012239627,3,1714600782.03735,8.225518391706802e-05,5.769773006439209,1.647362232208252,3
0.07395217404252649,0.22879327948960618,0.07403792054877226,4,1714600782.1078649,8.574650624575936e-05,5.840287923812866,1.7183003425598145,4
0.07379764972541261,0.2287350655239418,0.07388395706536732,5,1714600782.1875882,8.630733995470707e-05,5.920011281967163,1.7978603839874268,5
0.07358697262021847,0.22838487129528073,0.07367357593086118,6,1714600782.271165,8.66033106427044e-05,6.003587961196899,1.8815045356750488,6
0.07328917061196691,0.22776464567883556,0.07337634724579598,7,1714600782.3633974,8.717663382907372e-05,6.095820426940918,1.9734828472137451,7
0.07286621409278699,0.22676644065759322,0.07295409731607802,8,1714600782.454596,8.78832232910292e-05,6.187019109725952,2.064995765686035,8
0.07226390536433153,0.2252168427621889,0.07235169767624347,9,1714600782.54544,8.779231191194811e-05,6.277863025665283,2.1557257175445557,9
0.07139380145382487,0.22285451788997448,0.07147971929662715,10,1714600782.639318,8.591784280227823e-05,6.371741056442261,2.2485640048980713,10
0.07011438015722321,0.21926637587950806,0.07019612577784654,11,1714600782.751377,8.174562062332977e-05,6.483800172805786,2.3617420196533203,11
0.06818841592598662,0.2137125273549449,0.06826411364529202,12,1714600782.8672934,7.569771930539445e-05,6.599716424942017,2.477694272994995,12
0.06518350072326116,0.20466355785785942,0.06525273397708024,13,1714600783.0044942,6.92332538190809e-05,6.73691725730896,2.6147620677948,13
0.06023198279151197,0.1886640506773338,0.06029937438049191,14,1714600783.151955,6.739158897994406e-05,6.884377956390381,2.7623450756073,14
0.05167775970726886,0.16038990997133776,0.05178060594038824,15,1714600783.290421,0.0001028462331193826,7.022844076156616,2.900811195373535,15
0.03835356423730382,0.12683218233349658,0.0386601745814517,16,1714600783.4362192,0.00030661034414787493,7.168642282485962,3.0466229915618896,16
0.026077719038479972,0.1078290150352551,0.026566039183668046,17,1714600783.5996456,0.0004883201451880745,7.332068681716919,3.2099263668060303,17
0.019962283631275148,0.09706208175917923,0.020452336684932373,18,1714600783.7630763,0.0004900530536572243,7.4954993724823,3.3734562397003174,18
0.016797140029904897,0.08619815872725906,0.01719693414256539,19,1714600783.94441,0.0003997941126604954,7.676833152770996,3.5548598766326904,19
0.014682992539982018,0.0735349745160731,0.015029350174543776,20,1714600784.1626315,0.00034635763456175844,7.895054578781128,3.7730391025543213,20
0.010963994367859456,0.06496205958381036,0.011200472998427073,21,1714600784.4104393,0.00023647863056761785,8.142862319946289,4.020569324493408,21
0.0076985711316296815,0.05619083718151417,0.008345360344251042,22,1714600784.6787791,0.0006467892126213601,8.411202192306519,4.289246082305908,22
0.005564305602814991,0.034670054739419545,0.0062579510527124415,23,1714600784.9628608,0.0006936454498974506,8.695283889770508,4.573284864425659,23
0.0028160313897729345,0.02481092477254231,0.0031943361722819,24,1714600785.3410854,0.0003783047825089655,9.073508501052856,4.9513843059539795,24
0.0013390610130295712,0.022494073370030836,0.0017110416314509813,25,1714600785.6979532,0.00037198061842141006,9.430376291275024,5.3083086013793945,25
0.0011794496931735832,0.019829162907891693,0.0014815674093503085,26,1714600786.0851018,0.00030211771617672537,9.817524909973145,5.692042112350464,26
0.0009489543668035859,0.016245457171529785,0.001238052515820872,27,1714600786.517293,0.00028909814901728614,10.24971604347229,6.1276679039001465,27
0.0004907011674030741,0.014301167912796776,0.0007763594902808225,28,1714600786.973614,0.00028565832287774835,10.706037044525146,6.583970785140991,28
0.0003374773956260987,0.013231218636943983,0.0004756623955036412,29,1714600787.4311078,0.0001381849998775425,11.163530826568604,7.041392803192139,29
0.0002495495876713233,0.010908387617661866,0.0003581944656496811,30,1714600787.8894992,0.00010864487797835782,11.621922254562378,7.499481201171875,30
0.0001646462060847528,0.014962507559312511,0.00023727968326203936,31,1714600788.4453332,7.263347717728657e-05,12.177756309509277,8.055607557296753,31
0.00014840134893586923,0.010269998753567518,0.00022072920784961127,32,1714600789.0298564,7.232785891374204e-05,12.762279510498047,8.640151500701904,32
5.9141860166950364e-05,0.005650884052491888,0.00010527828195170672,33,1714600789.5962658,4.613642178475636e-05,13.328688859939575,9.206466436386108,33
2.9303315061139508e-05,0.004620253367174246,7.17607481741115e-05,34,1714600789.9015207,4.245743311297199e-05,13.633943796157837,9.511912822723389,34
2.3972970119006344e-05,0.004150516475658151,6.0548294272268246e-05,35,1714600790.7528706,3.6575324153261905e-05,14.485293626785278,10.36324167251587,35
2.17088587513891e-05,0.0038936884678843577,5.427363306045478e-05,36,1714600791.0346892,3.256477430906568e-05,14.767112255096436,10.645029544830322,36
1.9942559126334313e-05,0.0036241729246781164,5.202137647715698e-05,37,1714600791.4244578,3.2078817350822665e-05,15.156880855560303,11.034558296203613,37
1.79611873824053e-05,0.0033117945976780367,4.969631016147645e-05,38,1714600791.7524369,3.173512277907115e-05,15.484859943389893,11.362809896469116,38
1.5808665900911267e-05,0.002822585737075492,4.758047330540991e-05,39,1714600792.2880955,3.177180740449864e-05,16.02051854133606,11.898486614227295,39
1.2566700885764296e-05,0.0024744044086967305,4.4423876294333806e-05,40,1714600792.8209987,3.185717540856951e-05,16.55342173576355,12.4314284324646,40
1.7618006085644006e-05,0.005541032318471003,4.332307934379147e-05,42,1714600793.7308736,2.5705073258147465e-05,17.46329665184021,13.341196298599243,41
1.3270785880890112e-05,0.0036933861714949965,2.600895032417497e-05,46,1714600796.0147295,1.273816444328486e-05,19.74715256690979,15.625125646591187,42
7.4104541395979724e-06,0.002811199351336091,1.3725417664124916e-05,50,1714600798.5842514,6.3149635245269425e-06,22.31667447090149,18.194545030593872,43
1.6611855354040832e-06,0.0014094861697127325,7.065708109592852e-06,55,1714600800.518609,5.404522574188769e-06,24.25103211402893,20.128673553466797,44
2.371020603806223e-06,0.0015668750648730509,4.570532107513574e-06,61,1714600803.3490078,2.199511503707351e-06,27.081430912017822,22.959355354309082,45
1.704404960914732e-06,0.0016092629084659762,2.504199737228766e-06,67,1714600807.9839392,7.99794776314034e-07,31.716362237930298,27.594263792037964,46
3.5911686657562884e-07,0.00042932247825716704,1.0398581670350366e-06,73,1714600811.4855292,6.807413004594079e-07,35.217952251434326,31.095696926116943,47
1.1524290910740269e-07,0.0004624428322492395,5.91344421295738e-07,81,1714600815.215962,4.7610151218833535e-07,38.94838500022888,34.82629346847534,48
7.483801617765211e-08,0.0003847375517870538,3.566450859356962e-07,89,1714600820.934937,2.818070697580441e-07,44.667360067367554,40.54532289505005,49
5.469889720025329e-08,0.00023855261880651498,3.030749642783405e-07,98,1714600824.8326073,2.483760670780872e-07,48.565030336380005,44.44297647476196,50
1.0433803633882823e-07,0.0004770556398665332,2.74234907920225e-07,107,1714600829.6020713,1.6989687158139676e-07,53.3344943523407,49.21206521987915,51
7.449443149331965e-08,0.0002591478276600057,1.6325508897023512e-07,118,1714600836.405019,8.876065747691548e-08,60.137442111968994,56.01542592048645,52
7.376129392335783e-08,0.00032406095712940734,1.349145281672333e-07,130,1714600844.2655346,6.11532342438755e-08,67.99795770645142,63.875500440597534,53
6.44816972326785e-08,0.0003284352004281912,1.080978007032533e-07,143,1714600851.2492146,4.36161034705748e-08,74.98163771629333,70.85952425003052,54
1.8444690108035967e-08,0.00011546993806094639,4.657570954263666e-08,157,1714600859.0573008,2.813101943460069e-08,82.78972387313843,78.66760444641113,55
1.2998732354054521e-08,0.00012953935704560944,2.963346907731944e-08,172,1714600868.1036758,1.6634736723264918e-08,91.83609890937805,87.71367764472961,56
2.960584887459183e-09,4.02462219071929e-05,1.4625241317421948e-08,190,1714600877.1003609,1.1664656429962765e-08,100.83278393745422,96.71063184738159,57
1.494214309578465e-09,4.521582549095952e-05,7.341817930077321e-09,208,1714600891.1906815,5.8476036204988564e-09,114.92310452461243,110.8010196685791,58
5.73021076848254e-10,2.269194768579169e-05,4.3949941159586975e-09,229,1714600908.0988238,3.8219730391104434e-09,131.83124685287476,127.70915603637695,59
4.3861580314145737e-10,1.9917023650317608e-05,3.6533000751353328e-09,252,1714600925.2135072,3.2146842719938755e-09,148.94593024253845,144.82340812683105,60
5.201783835417903e-10,1.8848529289845408e-05,3.2702945411788203e-09,277,1714600945.6879008,2.7501161576370302e-09,169.42032384872437,165.29785084724426,61
4.221684750625366e-10,1.7132938971501658e-05,2.755378802871844e-09,305,1714600966.700952,2.3332103278093078e-09,190.43337512016296,186.310866355896,62
4.958650063583967e-10,1.7964881209359605e-05,2.5122719163528402e-09,335,1714600993.2514389,2.0164069099944436e-09,216.98386192321777,212.86174988746643,63
7.138783188864976e-10,2.6132801742530018e-05,2.402196432024434e-09,369,1714601024.5239034,1.6883181131379362e-09,248.25632643699646,244.13378286361694,64
4.10125525226996e-10,2.165586173536579e-05,1.7387305369133815e-09,406,1714601066.6721401,1.3286050116863854e-09,290.40456318855286,286.28242683410645,65
2.314090612198982e-10,1.5080426667038426e-05,1.2407257884558639e-09,446,1714601117.6078088,1.0093167272359657e-09,341.3402318954468,337.21786665916443,66
1.7100908644680715e-10,1.3374443626320066e-05,9.816008100318052e-10,491,1714601167.892441,8.105917235849981e-10,391.6248641014099,387.50256538391113,67
1.4480795609481837e-10,1.2108246833376936e-05,8.042341741925282e-10,540,1714601224.3646472,6.594262180977099e-10,448.09707021713257,443.97455072402954,68
1.5870716746768418e-10,1.1099043405048488e-05,6.448214089896838e-10,594,1714601290.516201,4.861142415219996e-10,514.24862408638,510.1262004375458,69
2.0765080558029258e-10,1.2840503732856148e-05,5.294308345583228e-10,653,1714601355.3922083,3.2178002897803017e-10,579.1246314048767,575.0018930435181,70
1.3304721934884504e-10,1.1405601591680824e-05,3.1743213494977226e-10,718,1714601432.014532,1.8438491560092719e-10,655.7469551563263,651.6243901252747,71
5.489000288395267e-11,7.431121293173043e-06,2.002261800181851e-10,790,1714601516.591815,1.4533617713423244e-10,740.3242380619049,736.2018177509308,72
3.218135753669624e-11,5.9249672147529385e-06,1.4592825629254711e-10,869,1714601620.7266805,1.1374689875585089e-10,844.4591035842896,840.3367176055908,73
2.7485612883663555e-11,5.513904690505363e-06,1.0808456371385587e-10,956,1714601747.6182835,8.059895083019231e-11,971.350706577301,967.2282707691193,74
2.7222467772886083e-11,5.4691401906247945e-06,9.925245864326639e-11,978,1714601781.4275863,7.20299908703803e-11,1005.1600093841553,1001.0378797054291,75
